Date,Site.N,Site,Location,Bag,Genus,Species,Species_TB,Plot,Photo.1,Photo.2,Tag,ID,Dewer
12/02/2019,Site 4a,Venture Lake outside,Inner,10,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1673,IMG_1674,2,s4a_pdam_2,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,7,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1657,IMG_1658,3,s4a_pdam_3,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,8,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1659,IMG_1660,4,s4a_pdam_4,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,7,Porites,Porites cf. rus,Porites cf. rus,2,IMG_1677,IMG_1678,3,s4a_prus_3,yellow
12/02/2019,Site 4b,Venture Lake,Inner,24,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1720,IMG_1721,1,s4b_card_1,yellow
12/02/2019,Site 4b,Venture Lake,Inner,25,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1722,IMG_1723,2,s4b_card_2,yellow
12/02/2019,Site 4b,Venture Lake,Inner,36,Goniastrea,Goniastrea spp.,Goniastrea cf. stelligera,2,IMG_1752,IMG_1753,1,s4b_goni_1,yellow
12/02/2019,Site 4b,Venture Lake,Inner,37,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1754,IMG_1755,2,s4b_goni_2,yellow
12/02/2019,Site 4b,Venture Lake,Inner,38,Lobophyllia,Lobophyllia cf. hemprichii,Lobophyllia cf. hemprichii,1,IMG_1760,NA,1,s4b_lobo_1,yellow
12/02/2019,Site 4b,Venture Lake,Inner,36,Lobophyllia,Lobophyllia cf. hemprichii,Lobophyllia cf. hemprichii,1,IMG_1762,IMG_1763,2,s4b_lobo_2,yellow
12/02/2019,Site 4b,Venture Lake,Inner,19,Porites,Porites cf. cylindrica,Porites cf. cylindrica,2,IMG_1744,IMG_1745,1,s4b_pcyl_1,yellow
12/02/2019,Site 4b,Venture Lake,Inner,20,Porites,Porites cf. cylindrica,Porites cf. cylindrica,2,IMG_1750,IMG_1751,2,s4b_pcyl_2,yellow
12/02/2019,Site 4b,Venture Lake,Inner,18,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1734,IMG_1735,3,s4b_pcyl_3,yellow
12/02/2019,Site 4b,Venture Lake,Inner,40,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1758,IMG_1759,4,s4b_pcyl_4,yellow
12/02/2019,Site 4b,Venture Lake,Inner,21,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1727,IMG_1728,1,s4b_prus_1,yellow
12/02/2019,Site 4b,Venture Lake,Inner,22,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1730,IMG_1731,3,s4b_prus_3,yellow
12/02/2019,Site 4b,Venture Lake,Inner,39,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1756,IMG_1757,4,s4b_prus_4,yellow
13/02/2019,Site 5,Falcon Reef,Lagoon,25,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1842,IMG_1843,1,s5_card_1,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,23,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1838,IMG_1839,2,s5_card_2,no colour
