"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"265","Lagoon","Mutmelachel",4,3,"Lobophyllia spp.",0,0,"D"
"267","Lagoon","Mutmelachel",4,3,"Montipora",0,0,"D"
"268","Lagoon","Mutmelachel",4,3,"Other Lobophyllidae",0,0,"D"
"269","Lagoon","Mutmelachel",4,3,"Other Merulinidae",0,0,"D"
"270","Lagoon","Mutmelachel",4,3,"Other Pocillopora",0,0,"D"
"271","Lagoon","Mutmelachel",4,3,"Other Scleractinia",0,0,"D"
"272","Lagoon","Mutmelachel",4,3,"Pocillopora cf. damicornis",1.2,1,"D"
"273","Lagoon","Mutmelachel",4,3,"Pocillopora cf. verrucosa",0,0,"D"
"274","Lagoon","Mutmelachel",4,3,"Porites cf. cylindrica",10.4,4,"D"
"275","Lagoon","Mutmelachel",4,3,"Porites Massive",3,1,"D"
"276","Lagoon","Mutmelachel",4,3,"Porites cf. nigrescens",0,0,"D"
"277","Lagoon","Mutmelachel",4,3,"Porites cf. rus",0,0,"D"
"279","Lagoon","Mutmelachel",4,3,"Stylophora cf. pistillata",0,0,"D"
"281","Inner","Nikko Bay",4,1,"Acropora cf. subglabra",0.9,1,"F"
"282","Inner","Nikko Bay",4,1,"Acropora cf. humilis",0,0,"F"
"283","Inner","Nikko Bay",4,1,"Acropora cf. hyacinthus",0,0,"F"
"284","Inner","Nikko Bay",4,1,"Acropora cf. muricata",0.8,1,"F"
"285","Inner","Nikko Bay",4,1,"Acropora cf. tenuis",0,0,"F"
"286","Inner","Nikko Bay",4,1,"Agariciidae",0,0,"F"
"287","Inner","Nikko Bay",4,1,"Anacropora spinosa",0.8,1,"F"
"290","Inner","Nikko Bay",4,1,"Fungiidae",0,0,"F"
"292","Inner","Nikko Bay",4,1,"Goniastrea spp.",7.55,8,"F"
"295","Inner","Nikko Bay",4,1,"Isopora cf. brueggemanni",0,0,"F"
"296","Inner","Nikko Bay",4,1,"Lobophyllia spp.",0.6,1,"F"
"298","Inner","Nikko Bay",4,1,"Montipora",0,0,"F"
"299","Inner","Nikko Bay",4,1,"Other Lobophyllidae",0,0,"F"
"300","Inner","Nikko Bay",4,1,"Other Merulinidae",1.66,2,"F"
"301","Inner","Nikko Bay",4,1,"Other Pocillopora",0,0,"F"
"302","Inner","Nikko Bay",4,1,"Other Scleractinia",0,0,"F"
"303","Inner","Nikko Bay",4,1,"Pocillopora cf. damicornis",1.2,1,"F"
"304","Inner","Nikko Bay",4,1,"Pocillopora cf. verrucosa",0,0,"F"
"305","Inner","Nikko Bay",4,1,"Porites cf. cylindrica",0.45,1,"F"
"306","Inner","Nikko Bay",4,1,"Porites Massive",1.7,1,"F"
"307","Inner","Nikko Bay",4,1,"Porites cf. nigrescens",0,0,"F"
"308","Inner","Nikko Bay",4,1,"Porites cf. rus",7.9,3,"F"
"310","Inner","Nikko Bay",4,1,"Stylophora cf. pistillata",0,0,"F"
"312","Inner","Nikko Bay",4,2,"Acropora cf. subglabra",0,0,"F"
"313","Inner","Nikko Bay",4,2,"Acropora cf. humilis",0,0,"F"
"314","Inner","Nikko Bay",4,2,"Acropora cf. hyacinthus",0,0,"F"
"315","Inner","Nikko Bay",4,2,"Acropora cf. muricata",0,0,"F"
"316","Inner","Nikko Bay",4,2,"Acropora cf. tenuis",0,0,"F"
"317","Inner","Nikko Bay",4,2,"Agariciidae",0,0,"F"
"318","Inner","Nikko Bay",4,2,"Anacropora spinosa",1,1,"F"
"321","Inner","Nikko Bay",4,2,"Fungiidae",0,0,"F"
