,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
18,Site 1,IMG_1391,33.6,138,33.6,0.18,0.22,0.17,0.03,15,0.25,IMG_1392,6.04,1.16,1.57,1.86,3.31,7.59,red_brown
19,Site 1,IMG_1393,27.6,56,27.6,0.47,0.43,0.49,0.02,59,0.25,IMG_1394,7.26,1.57,2.15,1.72,3.52,3.78,brown
20,Site 1,IMG_1395,28.5,49,28.5,0.4,0.3,0.4,0.02,57,0.3,NA,NA,NA,NA,NA,NA,NA,red_brown
21,Site 1,IMG_1396,120.4,102,104.4,0.62,0.63,0.8,0.02,47,0.25,IMG_1397,13.9,1.43,1.83,0.74,7.46,8.24,brown
22,Site 1,IMG_1398,15.8,27,15.8,0.41,0.42,0.47,0.06,12,0.3,IMG_1399,2.6,0.9,1.01,1.02,3.3,4.6,brown
23,Site 1,IMG_1400,21.4,19,21.4,0.3,0.4,0.3,0.04,16,0.25,IMG_1401,6.42,3,2.95,2.39,1.38,5.73,brown
24,Site 1,IMG_1402,16.46,10,16.46,1.47,1.25,1.05,0.15,10,0.5,IMG_1403,3.98,2.1,1.2,1.5,4.81,6.69,red_brown
25,Site 1,IMG_1404,121.3,2,121.3,9.6,8.6,NA,1.05,7,2,NA,NA,NA,NA,NA,NA,NA,pale_brown
26,Site 2,IMG_1438,32.8,39,32.8,0.69,0.4,0.52,0.06,10,0.25,IMG_1439,1.93,1,1.03,1.06,5.46,6.87,pale_brown
27,Site 2,IMG_1440,75.5,124,75.5,0.45,0.55,0.5,0.06,15,0.3,IMG_1441,4.45,0.94,0.96,0.92,7.2,9.4,pale_brown
28,Site 2,IMG_1442,98.1,49,98.1,0.47,0.51,0.44,0.04,32,0.25,IMG_1443,5.24,1.93,2.17,1.82,2.69,5.98,yellow
29,Site 2,IMG_1444,147.6,41,25,0.4,0.32,0.35,0.04,29,0.25,IMG_1445,4.17,1.17,1.14,1.19,15.66,13.86,yellow
30,Site 2,IMG_1447,217.7,93,217.7,0.69,0.83,0.79,0.03,20,0.25,IMG_1448,7.87,1.78,1.29,1.19,15.48,21.7,pale_brown
31,Site 2,IMG_1449,483,46,25,0.45,0.47,0.55,0.03,25,0.25,IMG_1450,7.68,0.93,1.27,1.31,13.54,17.91,pale_yellow
32,Site 2,IMG_1451,31.9,30,31.9,0.65,0.45,0.56,0.02,45,0.25,IMG_1452,4.5,1.39,1.48,1.04,8.92,10.4,pale_yellow
33,Site 2,IMG_1453,51.7,34,51.7,0.53,0.43,0.64,0.02,43,0.25,IMG_1454,2.41,0.75,0.8,0.67,4.18,4.91,pale_brown
34,Site 2,IMG_1455,13.07,33,13.07,0.42,0.39,0.41,0.06,17,0.25,IMG_1455,0.98,0.7,0.7,0.66,2.94,3.73,pale_brown
35,Site 2,IMG_1457,57.4,77,57.4,0.39,0.58,0.46,0.06,16,0.25,IMG_1458,2.24,1.1,1.17,0.98,5.43,6,brown
36,Site 2,IMG_1459,6.2,10,6.2,0.48,0.52,0.53,0.03,45,0.3,IMG_1460,1.16,0.68,0.58,0.58,1.59,3.04,yellow
37,Site 2,IMG_1461,196.8,60,9,0.19,0.25,0.2,0.04,20,0.3,IMG_1462,5.5,0.86,0.9,0.99,4.5,23.7,red_brown
38,Site 2,IMG_1463,21.1,21,21.1,0.72,0.71,0.78,0.02,40,0.25,IMG_1564,0.8,0.61,0.69,0.67,2.6,3.6,pale_brown
39,Site 2,IMG_1465,40.6,36,40.6,0.7,1,1.07,0.04,24,0.25,IMG_1466,6.97,1.4,1.5,1.18,2.75,9,red_brown
